cod,grad
109,FCA
110,FCA
100,FCA
101,FCA
102,FCA
107,FCA
63,FCF
58,FCM
15,FCM
56,FE
20,FE
38,FE
13,FEA
43,FEA
8,FEAGRI
48,FEC
12,FEC
11,FEEC
41,FEEC
27,FEF
45,FEF
49,FEM
10,FEM
21,FENF
9,FEQ
39,FEQ
14,FOP
36,FT
86,FT
73,FT
87,FT
88,FT
89,FT
94,FT
26,IA
25,IA
64,IA
23,IA
22,IA
6,IB
46,IB
42,IC
34,IC
17,IE
47,IE
75,IEL
7,IEL
57,IEL
18,IEL
16,IFCH
44,IFCH
30,IFCH
19,IFCH
108,IFGW
4,IFGW
40,IFGW
51,IFGW
53,IG
54,IG
55,IG
1,IMECC
2,IMECC
28,IMECC
29,IMECC
5,IQ
50,IQ
200,REIT
105,FCA
6,IB
60,FT
