cod,mes,area
84,FCA,Ciências Biológicas e Profissão da saúde
91,FCA,"Ciências Exatas,Tecnológicas e da Terra"
92,FCA,Ciências Humanas
49,FCM,Ciências Biológicas e Profissão da saúde
58,FCM,Ciências Biológicas e Profissão da saúde
35,FCM,Ciências Biológicas e Profissão da saúde
42,FCM,Ciências Biológicas e Profissão da saúde
74,FCM,Ciências Biológicas e Profissão da saúde
50,FCM,Ciências Biológicas e Profissão da saúde
51,FCM,Ciências Biológicas e Profissão da saúde
44,FCM,Ciências Biológicas e Profissão da saúde
90,FCM,Ciências Biológicas e Profissão da saúde
48,FCM,Ciências Biológicas e Profissão da saúde
20,FE,Ciências Humanas
86,FE,Ciências Humanas
47,FEA,"Ciências Exatas,Tecnológicas e da Terra"
56,FEA,"Ciências Exatas,Tecnológicas e da Terra"
57,FEA,"Ciências Exatas,Tecnológicas e da Terra"
55,FEA,"Ciências Exatas,Tecnológicas e da Terra"
8,FEAGRI,"Ciências Exatas,Tecnológicas e da Terra"
89,FEC,"Ciências Exatas,Tecnológicas e da Terra"
12,FEC,"Ciências Exatas,Tecnológicas e da Terra"
11,FEEC,"Ciências Exatas,Tecnológicas e da Terra"
28,FEF,Ciências Biológicas e Profissão da saúde
72,FEM,"Ciências Exatas,Tecnológicas e da Terra"
10,FEM,"Ciências Exatas,Tecnológicas e da Terra"
39,FEM,"Ciências Exatas,Tecnológicas e da Terra"
59,FENF,Ciências Biológicas e Profissão da saúde
9,FEQ,"Ciências Exatas,Tecnológicas e da Terra"
67,FOP,Ciências Biológicas e Profissão da saúde
23,FOP,Ciências Biológicas e Profissão da saúde
70,FOP,Ciências Biológicas e Profissão da saúde
71,FOP,Ciências Biológicas e Profissão da saúde
14,FOP,Ciências Biológicas e Profissão da saúde
69,FOP,Ciências Biológicas e Profissão da saúde
82,FT,"Ciências Exatas,Tecnológicas e da Terra"
87,IA,Artes
88,IA,Artes
30,IA,Artes
73,IA,Artes
83,IB,Ciências Biológicas e Profissão da saúde
65,IB,Ciências Biológicas e Profissão da saúde
61,IB,Ciências Biológicas e Profissão da saúde
60,IB,Ciências Biológicas e Profissão da saúde
63,IB,Ciências Biológicas e Profissão da saúde
64,IB,Ciências Biológicas e Profissão da saúde
62,IB,Ciências Biológicas e Profissão da saúde
3,IC,"Ciências Exatas,Tecnológicas e da Terra"
53,IE,Ciências Humanas
17,IE,Ciências Humanas
81,IEL,Ciências Humanas
18,IEL,Ciências Humanas
40,IEL,Ciências Humanas
7,IEL,Ciências Humanas
36,IFCH,Ciências Humanas
37,IFCH,Ciências Humanas
75,IFCH,Ciências Humanas
24,IFCH,Ciências Humanas
19,IFCH,Ciências Humanas
80,IFCH,Ciências Humanas
38,IFCH,Ciências Humanas
4,IFGW,"Ciências Exatas,Tecnológicas e da Terra"
54,IG,"Ciências Exatas,Tecnológicas e da Terra"
26,IG,"Ciências Exatas,Tecnológicas e da Terra"
79,IG,Ciências Humanas
41,IG,Ciências Humanas
2,IMECC,"Ciências Exatas,Tecnológicas e da Terra"
1,IMECC,"Ciências Exatas,Tecnológicas e da Terra"
29,IMECC,"Ciências Exatas,Tecnológicas e da Terra"
5,IQ,"Ciências Exatas,Tecnológicas e da Terra"
