instituto	lat	lon
IMECC	-22.81583	-47.06769
FEM	-22.81938	-47.06592
FEF	-22.81476	-47.07333
IA	-22.815127	-47.070112
IEL	-22.815121	-47.069397
IFCH	-22.814924	-47.068303
IFGW	-22.816778	-47.067328
IQ	-22.818993	-47.068038
IB	-22.819333	-47.069402
FEEC	-22.821286	-47.065894
FEQ	-22.820336	-47.065617
FE	-22.816466	-47.065728
IE	-22.814952	-47.066153
IC	-22.814663	-47.064811
FEC	-22.816503	-47.061943
FEAGRI	-22.819405	-47.060955
FCM	-22.831345	-47.062188
IG	-22.813084	-47.068574
FEA	-22.820475	-47.067189
